classLabel
ADONIS
AFRICAN GIANT SWALLOWTAIL
AMERICAN SNOOT
AN 88
AN 88
AN 88
AN 88
AN 88
APPOLLO
APPOLLO
APPOLLO
APPOLLO
APPOLLO
ARCIGERA FLOWER MOTH
ARCIGERA FLOWER MOTH
ARCIGERA FLOWER MOTH
ARCIGERA FLOWER MOTH
ARCIGERA FLOWER MOTH
ATALA
ATALA
ATALA
ATALA
ATALA
ATLAS MOTH
ATLAS MOTH
ATLAS MOTH
ATLAS MOTH
ATLAS MOTH
BANDED ORANGE HELICONIAN
BANDED ORANGE HELICONIAN
BANDED ORANGE HELICONIAN
BANDED ORANGE HELICONIAN
BANDED ORANGE HELICONIAN
BANDED PEACOCK
BANDED PEACOCK
BANDED PEACOCK
BANDED PEACOCK
BANDED PEACOCK
BANDED TIGER MOTH
BANDED TIGER MOTH
BANDED TIGER MOTH
BANDED TIGER MOTH
BECKERS WHITE
BECKERS WHITE
BECKERS WHITE
BECKERS WHITE
BECKERS WHITE
BIRD CHERRY ERMINE MOTH
BIRD CHERRY ERMINE MOTH
BIRD CHERRY ERMINE MOTH
BIRD CHERRY ERMINE MOTH
BIRD CHERRY ERMINE MOTH
BLACK HAIRSTREAK
BLACK HAIRSTREAK
BLACK HAIRSTREAK
BLACK HAIRSTREAK
BLACK HAIRSTREAK
BLUE MORPHO
BLUE MORPHO
BLUE MORPHO
BLUE MORPHO
BLUE MORPHO
BLUE MORPHO
BLUE SPOTTED CROW
BLUE SPOTTED CROW
BLUE SPOTTED CROW
BLUE SPOTTED CROW
BLUE SPOTTED CROW
BROOKES BIRDWING
BROOKES BIRDWING
BROOKES BIRDWING
BROOKES BIRDWING
BROOKES BIRDWING
BROWN ARGUS
BROWN ARGUS
BROWN ARGUS
BROWN ARGUS
BROWN ARGUS
BROWN SIPROETA
BROWN SIPROETA
BROWN SIPROETA
BROWN SIPROETA
BROWN SIPROETA
CABBAGE WHITE
CABBAGE WHITE
CABBAGE WHITE
CABBAGE WHITE
CABBAGE WHITE
CAIRNS BIRDWING
CAIRNS BIRDWING
CAIRNS BIRDWING
CAIRNS BIRDWING
CAIRNS BIRDWING
CHALK HILL BLUE
CHALK HILL BLUE
CHALK HILL BLUE
CHALK HILL BLUE
CHECQUERED SKIPPER
CHECQUERED SKIPPER
CHECQUERED SKIPPER
CHECQUERED SKIPPER
CHECQUERED SKIPPER
CHECQUERED SKIPPER
CHESTNUT
CHESTNUT
CHESTNUT
CHESTNUT
CHESTNUT
CINNABAR MOTH
CINNABAR MOTH
CINNABAR MOTH
CINNABAR MOTH
CINNABAR MOTH
CLEARWING MOTH
CLEARWING MOTH
CLEARWING MOTH
CLEARWING MOTH
CLEOPATRA
CLEOPATRA
CLEOPATRA
CLEOPATRA
CLEOPATRA
CLODIUS PARNASSIAN
CLODIUS PARNASSIAN
CLODIUS PARNASSIAN
CLODIUS PARNASSIAN
CLODIUS PARNASSIAN
CLOUDED SULPHUR
CLOUDED SULPHUR
CLOUDED SULPHUR
COMET MOTH
COMET MOTH
COMET MOTH
COMET MOTH
COMET MOTH
COMMON BANDED AWL
COMMON BANDED AWL
COMMON BANDED AWL
COMMON BANDED AWL
COMMON BANDED AWL
COMMON WOOD-NYMPH
COMMON WOOD-NYMPH
COMMON WOOD-NYMPH
COMMON WOOD-NYMPH
COPPER TAIL
COPPER TAIL
COPPER TAIL
COPPER TAIL
COPPER TAIL
COPPER TAIL
CRECENT
CRECENT
CRECENT
CRECENT
CRIMSON PATCH
CRIMSON PATCH
CRIMSON PATCH
CRIMSON PATCH
CRIMSON PATCH
DANAID EGGFLY
DANAID EGGFLY
DANAID EGGFLY
DANAID EGGFLY
DANAID EGGFLY
EASTERN COMA
EASTERN COMA
EASTERN COMA
EASTERN COMA
EASTERN COMA
EASTERN COMA
EASTERN COMA
EASTERN COMA
EASTERN COMA
EASTERN DAPPLE WHITE
EASTERN DAPPLE WHITE
EASTERN DAPPLE WHITE
EASTERN DAPPLE WHITE
EASTERN DAPPLE WHITE
EASTERN DAPPLE WHITE
EASTERN PINE ELFIN
EASTERN PINE ELFIN
EASTERN PINE ELFIN
EASTERN PINE ELFIN
EASTERN PINE ELFIN
ELBOWED PIERROT
ELBOWED PIERROT
ELBOWED PIERROT
ELBOWED PIERROT
ELBOWED PIERROT
EMPEROR GUM MOTH
EMPEROR GUM MOTH
EMPEROR GUM MOTH
EMPEROR GUM MOTH
EMPEROR GUM MOTH
GARDEN TIGER MOTH
GARDEN TIGER MOTH
GARDEN TIGER MOTH
GARDEN TIGER MOTH
GARDEN TIGER MOTH
GARDEN TIGER MOTH
GIANT LEOPARD MOTH
GIANT LEOPARD MOTH
GIANT LEOPARD MOTH
GIANT LEOPARD MOTH
GIANT LEOPARD MOTH
GLITTERING SAPPHIRE
GLITTERING SAPPHIRE
GLITTERING SAPPHIRE
GLITTERING SAPPHIRE
GLITTERING SAPPHIRE
GLITTERING SAPPHIRE
GOLD BANDED
GOLD BANDED
GOLD BANDED
GOLD BANDED
GREAT EGGFLY
GREAT EGGFLY
GREAT EGGFLY
GREAT EGGFLY
GREAT EGGFLY
GREAT JAY
GREAT JAY
GREAT JAY
GREAT JAY
GREAT JAY
GREEN CELLED CATTLEHEART
GREEN CELLED CATTLEHEART
GREEN CELLED CATTLEHEART
GREEN CELLED CATTLEHEART
GREEN CELLED CATTLEHEART
GREEN HAIRSTREAK
GREEN HAIRSTREAK
GREEN HAIRSTREAK
GREEN HAIRSTREAK
GREEN HAIRSTREAK
GREY HAIRSTREAK
GREY HAIRSTREAK
GREY HAIRSTREAK
GREY HAIRSTREAK
GREY HAIRSTREAK
HERCULES MOTH
HERCULES MOTH
HERCULES MOTH
HERCULES MOTH
HERCULES MOTH
HUMMING BIRD HAWK MOTH
HUMMING BIRD HAWK MOTH
HUMMING BIRD HAWK MOTH
HUMMING BIRD HAWK MOTH
HUMMING BIRD HAWK MOTH
HUMMING BIRD HAWK MOTH
INDRA SWALLOW
INDRA SWALLOW
INDRA SWALLOW
INDRA SWALLOW
INDRA SWALLOW
INDRA SWALLOW
INDRA SWALLOW
IO MOTH
IO MOTH
IO MOTH
IO MOTH
IO MOTH
Iphiclus sister
Iphiclus sister
Iphiclus sister
Iphiclus sister
Iphiclus sister
JULIA
JULIA
JULIA
JULIA
JULIA
LARGE MARBLE
LARGE MARBLE
LARGE MARBLE
LUNA MOTH
LUNA MOTH
LUNA MOTH
LUNA MOTH
LUNA MOTH
MADAGASCAN SUNSET MOTH
MADAGASCAN SUNSET MOTH
MADAGASCAN SUNSET MOTH
MADAGASCAN SUNSET MOTH
MADAGASCAN SUNSET MOTH
MALACHITE
MALACHITE
MALACHITE
MALACHITE
MALACHITE
MANGROVE SKIPPER
MANGROVE SKIPPER
MANGROVE SKIPPER
MANGROVE SKIPPER
MANGROVE SKIPPER
MESTRA
MESTRA
MESTRA
MESTRA
MESTRA
METALMARK
METALMARK
METALMARK
METALMARK
METALMARK
MILBERTS TORTOISESHELL
MILBERTS TORTOISESHELL
MILBERTS TORTOISESHELL
MILBERTS TORTOISESHELL
MONARCH
MONARCH
MONARCH
MONARCH
MONARCH
MOURNING CLOAK
MOURNING CLOAK
MOURNING CLOAK
MOURNING CLOAK
MOURNING CLOAK
MOURNING CLOAK
OLEANDER HAWK MOTH
OLEANDER HAWK MOTH
