classLabel
ADONIS
AFRICAN GIANT SWALLOWTAIL
AMERICAN SNOOT
AN 88
APPOLLO
ARCIGERA FLOWER MOTH
ATALA
ATLAS MOTH
BANDED ORANGE HELICONIAN
BANDED PEACOCK
BANDED TIGER MOTH
BECKERS WHITE
BIRD CHERRY ERMINE MOTH
BLACK HAIRSTREAK
BLUE MORPHO
BLUE SPOTTED CROW
BROOKES BIRDWING
BROWN ARGUS
BROWN SIPROETA
CABBAGE WHITE
CAIRNS BIRDWING
CHALK HILL BLUE
CHECQUERED SKIPPER
CHESTNUT
CINNABAR MOTH
CLEARWING MOTH
CLEOPATRA
CLODIUS PARNASSIAN
CLOUDED SULPHUR
COMET MOTH
COMMON BANDED AWL
COMMON WOOD-NYMPH
COPPER TAIL
CRECENT
CRIMSON PATCH
DANAID EGGFLY
EASTERN COMA
EASTERN DAPPLE WHITE
EASTERN PINE ELFIN
ELBOWED PIERROT
EMPEROR GUM MOTH
GARDEN TIGER MOTH
GIANT LEOPARD MOTH
GLITTERING SAPPHIRE
GOLD BANDED
GREAT EGGFLY
GREAT JAY
GREEN CELLED CATTLEHEART
GREEN HAIRSTREAK
GREY HAIRSTREAK
HERCULES MOTH
HUMMING BIRD HAWK MOTH
INDRA SWALLOW
IO MOTH
Iphiclus sister
JULIA
LARGE MARBLE
LUNA MOTH
MADAGASCAN SUNSET MOTH
MALACHITE
MANGROVE SKIPPER
MESTRA
METALMARK
MILBERTS TORTOISESHELL
MONARCH
MOURNING CLOAK
OLEANDER HAWK MOTH
ORANGE OAKLEAF
ORANGE TIP
ORCHARD SWALLOW
PAINTED LADY
PAPER KITE
PEACOCK
PINE WHITE
PIPEVINE SWALLOW
POLYPHEMUS MOTH
POPINJAY
PURPLE HAIRSTREAK
PURPLISH COPPER
QUESTION MARK
RED ADMIRAL
RED CRACKER
RED POSTMAN
RED SPOTTED PURPLE
ROSY MAPLE MOTH
SCARCE SWALLOW
SILVER SPOT SKIPPER
SIXSPOT BURNET MOTH
SLEEPY ORANGE
SOOTYWING
SOUTHERN DOGFACE
STRAITED QUEEN
TROPICAL LEAFWING
TWO BARRED FLASHER
ULYSES
VICEROY
WHITE LINED SPHINX MOTH
WOOD SATYR
YELLOW SWALLOW TAIL
ZEBRA LONG WING
